rua_id;nome;bairro;cep;distrito;status;componentes;pontos;observacao
178;TRAVESSA HORÁCIO DE SOUZA;Parque Turf Club;28013120;604;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
279;RUA SANTO AMARO;Goytacazes;28023471;605;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
304;RUA CAMPO ALEGRE;Goytacazes;28023587;605;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
305;RUA ALECRIM;Goytacazes;28023588;605;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
416;RUA NOVA;Goytacazes;28023693;607;APROVADO;1;3;Geometria revisada e aprovada pelo usuário.
493;RUA CURIÓ;Goytacazes;28023760;607;APROVADO;1;4;"Trecho de Goytacazes mantido; componente fora do contexto removido."
495;RUA SÃO DOMINGOS;Goytacazes;28023766;607;APROVADO;1;2;Relação com o cadastro de mesmo nome confirmada pelo usuário.
549;RUA BARCELOS MARTINS;Parque Novo Jockey;28020856;608;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
796;RUA JOCA CASTRO;Parque Penha;28021070;611;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
973;RUA BARROS BARRETO;Parque Rosário;28027460;612;APROVADO;2;4;Dois componentes próximos confirmados pelo usuário.
1004;RUA ALECRIM;Parque Tarcisio Miranda;28022020;613;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1012;TRAVESSA SANTO ANTÔNIO;Parque Jóquei Club;28022085;613;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1047;RUA NOSSA SENHORA DA CONCEIÇÃO;Parque Turf Club;28027260;613;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1087;PARAÍSO, RUA;Tócos;28148004;614;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1090;SANTO AMARO, RUA;Tócos;28148008;614;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1095;MIGUEL RINALDI, TV.;Tócos;28148014;614;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1112;MIGUEL RINALDI, AV.;Tócos;28148042;614;APROVADO;1;7;Geometria revisada e aprovada pelo usuário.
1117;SANTO ANTÔNIO, RUA;Tócos;28148049;614;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1134;BARROS BARRETO, TV.;BAIXA GRANDE;28140027;615;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1157;BARCELOS MARTINS, RUA;FAROL DE SÃO TOMÉ;28142039;615;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1167;HORÁCIO DE SOUZA, RUA;FAROL DE SÃO TOMÉ;28142050;615;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1184;NOGUEIRA, TV.;BAIXA GRANDE;28145634;615;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1226;CAMPO ALEGRE, RUA;FAROL DE SÃO TOMÉ;28145697;616;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1348;SAO DOMINGOS, RUA;Goytacazes;28146312;616;APROVADO;1;2;Relação com o cadastro de mesmo nome confirmada pelo usuário.
1396;SARDINHA, RUA;FAROL DE SÃO TOMÉ;28140021;616;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1424;I, RUA;FAROL DE SÃO TOMÉ;28140076;616;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1459;PRAÇA SANTO ANTÔNIO;Parque Santo Antônio;28080515;617;APROVADO;2;4;Dois componentes próximos confirmados pelo usuário.
1474;RUA CASIMIRO DE ABREU;Parque Vicente Gonçalves Dias;28080240;617;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1501;RUA SANTO ANTÔNIO;Parque Santo Antônio;28080525;617;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1714;TRAVESSA WILSON BATISTA;Parque Aldeia;28060555;619;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1791;RUA PARAÍSO;Parque Visconde de Ururaí;28070466;620;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
1803;RUA SANTO AMARO;Parque Visconde de Ururaí;28070326;620;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
2061;TRAVESSA NOSSA SENHORA DA PENHA;Parque Calabouço;28080783;622;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
2072;RUA UM;Parque Aeroporto;28093530;623;APROVADO;1;2;Geometria revisada e aprovada pelo usuário.
