178	{"type": "MultiLineString", "coordinates": [[[-41.3176641, -21.7672378], [-41.3169926, -21.7677031]]]}
279	{"type": "MultiLineString", "coordinates": [[[-41.2887521, -21.8982526], [-41.2868359, -21.8974484], [-41.2856407, -21.8969597]], [[-41.2912336, -21.8247533], [-41.2927862, -21.8266354]], [[-41.2813165, -21.7112073], [-41.2813908, -21.7108368]], [[-41.3253482, -21.7230877], [-41.32576, -21.7232079], [-41.3261448, -21.7233157], [-41.326602, -21.7234368], [-41.3271037, -21.7235895], [-41.3271379, -21.7235979], [-41.3271644, -21.7235995], [-41.3271888, -21.7235998], [-41.3272304, -21.7235867], [-41.3272455, -21.7235693]], [[-41.2924365, -21.7124968], [-41.2922915, -21.7124594], [-41.2921729, -21.7124595], [-41.2897874, -21.7128252], [-41.2893634, -21.7128871], [-41.2890679, -21.7129267], [-41.2887638, -21.7129594], [-41.2885119, -21.7129285], [-41.2883605, -21.7129099], [-41.2878683, -21.7128314], [-41.2872152, -21.712738]], [[-41.2252064, -21.8358467], [-41.2234011, -21.8346884], [-41.2231989, -21.8345978]], [[-41.2021674, -21.8842097], [-41.201738, -21.8831942], [-41.200834, -21.8811322]], [[-41.2804011, -21.7156672], [-41.2804346, -21.715504], [-41.2806891, -21.7143563], [-41.2807443, -21.714057], [-41.2809769, -21.712814], [-41.28103, -21.7125386], [-41.2812002, -21.7117695], [-41.2813165, -21.7112073]], [[-41.2816402, -21.7108778], [-41.2815437, -21.7109637], [-41.2814699, -21.7110385], [-41.2813165, -21.7112073]], [[-41.2228195, -21.8344416], [-41.2228189, -21.8344348], [-41.2228172, -21.8344299], [-41.2228154, -21.834426], [-41.2228127, -21.8344221], [-41.2228073, -21.8344161], [-41.2223336, -21.8340929], [-41.2213952, -21.833474], [-41.2209244, -21.8331523]], [[-41.2804011, -21.7156672], [-41.2803662, -21.7157532], [-41.2803373, -21.7158161], [-41.2803038, -21.7158952], [-41.2802562, -21.7160061], [-41.2801918, -21.7164073], [-41.2801369, -21.7167648], [-41.2800886, -21.7169966], [-41.2800758, -21.7170832], [-41.280053, -21.7171747], [-41.2800349, -21.717219], [-41.2800061, -21.7172464], [-41.2799484, -21.7172701]], [[-41.2813908, -21.7108368], [-41.2814324, -21.7106398], [-41.2814726, -21.7105189], [-41.2815356, -21.7103769], [-41.2816335, -21.7102373]], [[-41.2819909, -21.7107357], [-41.2818588, -21.7107706], [-41.2817529, -21.7108117], [-41.2816402, -21.7108778]], [[-41.1356074, -21.9391557], [-41.1351114, -21.9368999]], [[-41.0505065, -22.0368189], [-41.0508482, -22.0372422], [-41.0510883, -22.0375231], [-41.0513712, -22.037778], [-41.0516328, -22.0379396], [-41.0516757, -22.0380129]]]}
304	{"type": "MultiLineString", "coordinates": [[[-41.281545, -21.8306241], [-41.2825495, -21.830334]], [[-41.0511594, -22.0357131], [-41.0522074, -22.0368842]]]}
305	{"type": "MultiLineString", "coordinates": [[[-41.2997612, -21.7888418], [-41.2988332, -21.7898418], [-41.2985636, -21.7901033], [-41.2980795, -21.7905821], [-41.2978937, -21.7907664], [-41.2976631, -21.7909993]], [[-41.2822786, -21.8297688], [-41.2822286, -21.8297725], [-41.2821572, -21.8297859], [-41.2813573, -21.8300165], [-41.2810234, -21.830108]], [[-41.0518406, -22.0346092], [-41.0521719, -22.0349362], [-41.0528988, -22.0356995], [-41.0532112, -22.0359761], [-41.0534828, -22.0361874], [-41.0536799, -22.0363676], [-41.0538855, -22.0365402], [-41.0549338, -22.0374318]]]}
416	{"type": "MultiLineString", "coordinates": [[[-41.2737874, -21.8278647], [-41.2735397, -21.827839], [-41.272451, -21.8276823]], [[-41.2065142, -21.8670747], [-41.2070158, -21.8675676], [-41.2075092, -21.8681255], [-41.2099588, -21.8719377], [-41.2101513, -21.8722373], [-41.2104529, -21.8727283], [-41.210913, -21.8734773], [-41.2114128, -21.874291], [-41.2117539, -21.8748462], [-41.2130883, -21.8769591], [-41.2143651, -21.8790797], [-41.2145475, -21.8794021], [-41.2146105, -21.8795601], [-41.2146494, -21.8797045], [-41.2146547, -21.8798351], [-41.2146252, -21.8807411]], [[-41.3385183, -21.944985], [-41.3389, -21.9454314]], [[-41.4637657, -21.9466792], [-41.4637904, -21.9469378], [-41.4639004, -21.9476394], [-41.4640251, -21.9483994], [-41.4641766, -21.9493037], [-41.4642276, -21.9496818], [-41.4642182, -21.9499829], [-41.464186, -21.9502428], [-41.4641002, -21.9505277], [-41.4639741, -21.9507392], [-41.463777, -21.9510053], [-41.4634739, -21.9513499], [-41.4627846, -21.9521149], [-41.4624439, -21.9525042], [-41.4621153, -21.9528264], [-41.4617895, -21.9531125], [-41.4614663, -21.9533936], [-41.4606643, -21.9540354], [-41.4600004, -21.9545367], [-41.4595713, -21.9548626], [-41.4593567, -21.9550417], [-41.4592333, -21.9551884], [-41.459122, -21.9553999], [-41.4590724, -21.9555405], [-41.4590201, -21.955737], [-41.4589785, -21.9562208], [-41.4588994, -21.9571637]]]}
493	{"type": "MultiLineString", "coordinates": [[[-41.2581937, -21.8357593], [-41.2579831, -21.8353759], [-41.2569438, -21.8332409], [-41.2559225, -21.8311544]], [[-41.5976162, -21.729776], [-41.5977915, -21.7297141], [-41.598004, -21.7297073], [-41.5980839, -21.7297086], [-41.5982813, -21.7294336], [-41.5985017, -21.7291264], [-41.5987058, -21.728842], [-41.5987021, -21.728813]]]}
495	{"type": "MultiLineString", "coordinates": [[[-41.052273, -22.0378061], [-41.0529466, -22.0371174], [-41.0536799, -22.0363676]], [[-41.2569424, -21.8366208], [-41.2553767, -21.8349253], [-41.2545353, -21.8339983]], [[-41.2559289, -21.8371825], [-41.2559058, -21.837161], [-41.2548745, -21.8361228], [-41.2538673, -21.8350647]]]}
549	{"type": "MultiLineString", "coordinates": [[[-41.2757521, -21.7834322], [-41.2737304, -21.7809041]]]}
796	{"type": "MultiLineString", "coordinates": [[[-41.2700625, -21.8317818], [-41.269522, -21.8309751], [-41.2688515, -21.8300365], [-41.2687415, -21.8298522], [-41.2682684, -21.828914], [-41.2682543, -21.8288263]], [[-41.2920079, -21.797897], [-41.2918936, -21.797827], [-41.2916704, -21.7976807], [-41.2909864, -21.7970256], [-41.2905146, -21.7965711], [-41.2899863, -21.7960464], [-41.2889133, -21.7950192]]]}
973	{"type": "MultiLineString", "coordinates": [[[-41.3234317, -21.7740439], [-41.3227515, -21.7743149], [-41.3223803, -21.7743957], [-41.3217138, -21.7746012]], [[-41.1371268, -21.9432844], [-41.1366259, -21.9431618], [-41.1364764, -21.9431339], [-41.1345901, -21.9430258]]]}
1004	{"type": "MultiLineString", "coordinates": [[[-41.2997612, -21.7888418], [-41.2988332, -21.7898418], [-41.2985636, -21.7901033], [-41.2980795, -21.7905821], [-41.2978937, -21.7907664], [-41.2976631, -21.7909993]], [[-41.2822786, -21.8297688], [-41.2822286, -21.8297725], [-41.2821572, -21.8297859], [-41.2813573, -21.8300165], [-41.2810234, -21.830108]], [[-41.0518406, -22.0346092], [-41.0521719, -22.0349362], [-41.0528988, -22.0356995], [-41.0532112, -22.0359761], [-41.0534828, -22.0361874], [-41.0536799, -22.0363676], [-41.0538855, -22.0365402], [-41.0549338, -22.0374318]]]}
1012	{"type": "MultiLineString", "coordinates": [[[-41.3266623, -21.7440573], [-41.325739, -21.7430046], [-41.3239701, -21.7409445], [-41.3226405, -21.7393977]], [[-41.3276957, -21.7438769], [-41.3269903, -21.7444413]], [[-41.3282892, -21.7445088], [-41.3276957, -21.7438769], [-41.3274792, -21.7435845], [-41.3274336, -21.7435533], [-41.3273853, -21.7435434], [-41.3273414, -21.7435557]], [[-41.385332, -21.7842322], [-41.3848132, -21.7831714], [-41.3836433, -21.7804838], [-41.3833513, -21.7798285], [-41.3830756, -21.7792094], [-41.3829199, -21.7788598], [-41.3827721, -21.7785338], [-41.38248, -21.7778893], [-41.3821765, -21.7772275]], [[-41.2852786, -21.8961285], [-41.287118, -21.8969332], [-41.2881888, -21.8973977], [-41.2892121, -21.8978432]], [[-41.2809769, -21.712814], [-41.280533, -21.7127868], [-41.2800845, -21.7127556], [-41.2796519, -21.7127363], [-41.2791942, -21.71272], [-41.2787576, -21.7126976], [-41.2783599, -21.7126907]], [[-41.2981432, -21.786939], [-41.2974646, -21.7865007], [-41.2973211, -21.7864035]], [[-41.1867886, -21.770817], [-41.1868429, -21.7705803], [-41.1868422, -21.7705598], [-41.1868342, -21.7705361], [-41.1868188, -21.7705218], [-41.1867933, -21.7705081], [-41.1864962, -21.7704514], [-41.1862481, -21.770406]], [[-41.3275376, -21.7450758], [-41.3269903, -21.7444413], [-41.3266623, -21.7440573]]]}
1047	{"type": "MultiLineString", "coordinates": [[[-41.3225908, -21.7685039], [-41.3216561, -21.768719], [-41.321601, -21.7687331], [-41.3215951, -21.7687346], [-41.3207535, -21.7689369], [-41.3206892, -21.7689569], [-41.3206094, -21.7689818], [-41.3205099, -21.7690343]], [[-41.3117826, -21.7223913], [-41.3118493, -21.7230436], [-41.3119314, -21.7233278], [-41.3119975, -21.7235003], [-41.3121029, -21.7238139]], [[-41.3379729, -21.9452566], [-41.3377464, -21.9450364], [-41.3372721, -21.9446392], [-41.3365176, -21.9440073], [-41.3361506, -21.9437123]], [[-41.3181925, -21.6063173], [-41.3177615, -21.6037784], [-41.3176497, -21.6032278]], [[-41.3140457, -21.6016687], [-41.3140629, -21.6016672], [-41.3140736, -21.6016728], [-41.3140801, -21.6016804], [-41.3142204, -21.6020325], [-41.3144315, -21.6025876], [-41.3146127, -21.6030697]], [[-41.3116237, -21.7210916], [-41.3117091, -21.7217522], [-41.3117826, -21.7223913]], [[-41.3205099, -21.7690343], [-41.3204538, -21.7690384], [-41.3203707, -21.7690503], [-41.3202821, -21.7690602]], [[-41.3203541, -21.7688901], [-41.3203613, -21.7689668], [-41.3203385, -21.769016], [-41.3202821, -21.7690602]], [[-41.3202821, -21.7690602], [-41.3197155, -21.7692197], [-41.3185783, -21.769485]]]}
1087	{"type": "MultiLineString", "coordinates": [[[-41.2845344, -21.9025113], [-41.2850761, -21.9044219], [-41.2852947, -21.9051983], [-41.2855412, -21.9060768], [-41.2855522, -21.9060967], [-41.2855656, -21.9061076], [-41.2855894, -21.9061119], [-41.2856179, -21.9061094], [-41.2860294, -21.9059369]], [[-41.3249773, -21.7232531], [-41.3251269, -21.7227944]]]}
1090	{"type": "MultiLineString", "coordinates": [[[-41.2887521, -21.8982526], [-41.2868359, -21.8974484], [-41.2856407, -21.8969597]], [[-41.2912336, -21.8247533], [-41.2927862, -21.8266354]], [[-41.2813165, -21.7112073], [-41.2813908, -21.7108368]], [[-41.3253482, -21.7230877], [-41.32576, -21.7232079], [-41.3261448, -21.7233157], [-41.326602, -21.7234368], [-41.3271037, -21.7235895], [-41.3271379, -21.7235979], [-41.3271644, -21.7235995], [-41.3271888, -21.7235998], [-41.3272304, -21.7235867], [-41.3272455, -21.7235693]], [[-41.2924365, -21.7124968], [-41.2922915, -21.7124594], [-41.2921729, -21.7124595], [-41.2897874, -21.7128252], [-41.2893634, -21.7128871], [-41.2890679, -21.7129267], [-41.2887638, -21.7129594], [-41.2885119, -21.7129285], [-41.2883605, -21.7129099], [-41.2878683, -21.7128314], [-41.2872152, -21.712738]], [[-41.2252064, -21.8358467], [-41.2234011, -21.8346884], [-41.2231989, -21.8345978]], [[-41.2021674, -21.8842097], [-41.201738, -21.8831942], [-41.200834, -21.8811322]], [[-41.2804011, -21.7156672], [-41.2804346, -21.715504], [-41.2806891, -21.7143563], [-41.2807443, -21.714057], [-41.2809769, -21.712814], [-41.28103, -21.7125386], [-41.2812002, -21.7117695], [-41.2813165, -21.7112073]], [[-41.2816402, -21.7108778], [-41.2815437, -21.7109637], [-41.2814699, -21.7110385], [-41.2813165, -21.7112073]], [[-41.2228195, -21.8344416], [-41.2228189, -21.8344348], [-41.2228172, -21.8344299], [-41.2228154, -21.834426], [-41.2228127, -21.8344221], [-41.2228073, -21.8344161], [-41.2223336, -21.8340929], [-41.2213952, -21.833474], [-41.2209244, -21.8331523]], [[-41.2804011, -21.7156672], [-41.2803662, -21.7157532], [-41.2803373, -21.7158161], [-41.2803038, -21.7158952], [-41.2802562, -21.7160061], [-41.2801918, -21.7164073], [-41.2801369, -21.7167648], [-41.2800886, -21.7169966], [-41.2800758, -21.7170832], [-41.280053, -21.7171747], [-41.2800349, -21.717219], [-41.2800061, -21.7172464], [-41.2799484, -21.7172701]], [[-41.2813908, -21.7108368], [-41.2814324, -21.7106398], [-41.2814726, -21.7105189], [-41.2815356, -21.7103769], [-41.2816335, -21.7102373]], [[-41.2819909, -21.7107357], [-41.2818588, -21.7107706], [-41.2817529, -21.7108117], [-41.2816402, -21.7108778]], [[-41.1356074, -21.9391557], [-41.1351114, -21.9368999]], [[-41.0505065, -22.0368189], [-41.0508482, -22.0372422], [-41.0510883, -22.0375231], [-41.0513712, -22.037778], [-41.0516328, -22.0379396], [-41.0516757, -22.0380129]]]}
