nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
A;RUA A;4;4;ambiguidade_por_contexto;543,1621,1716,1725;Codim,Parque Guarus,Parque Novo Jockey,Parque Prazeres;28020849,28070050,28085735,28090530;608,619,620
ADAO PEREIRA NUNES;RUA ADÃO PEREIRA NUNES - ATÉ 1169 - LADO ÍMPAR | RUA ADÃO PEREIRA NUNES - ATÉ 490 - LADO PAR;2;2;ambiguidade_por_contexto;241,242;Parque Maciel;28013472,28013473;605
ALBERTO LAMEGO;AVENIDA ALBERTO LAMEGO - ATÉ 755 - LADO ÍMPAR | AVENIDA ALBERTO LAMEGO - ATÉ 852 - LADO PAR | AVENIDA ALBERTO LAMEGO - DE 757 A 939 - LADO ÍMPAR | AVENIDA ALBERTO LAMEGO - DE 854 A 958 - LADO PAR | AVENIDA ALBERTO LAMEGO - DE 941 AO FIM - LADO ÍMPAR | AVENIDA ALBERTO LAMEGO - DE 960 AO FIM - LADO PAR;6;6;ambiguidade_por_contexto;320,321,345,346,354,355;Parque Califórnia;28013601,28013602,28015621,28015622,28016811,28016812;606
ALBERTO TORRES;AVENIDA ALBERTO TORRES - ATÉ 79 - LADO ÍMPAR | AVENIDA ALBERTO TORRES - ATÉ 80 - LADO PAR;2;2;ambiguidade_por_contexto;13,14;Centro;28010116,28010117;601
ALECRIM;RUA ALECRIM;2;2;ambiguidade_por_contexto;305,1004;Goytacazes,Parque Tarcisio Miranda;28022020,28023588;605,613
ALMIRANTE ARY PARREIRAS;RUA ALMIRANTE ARY PARREIRAS | TRAVESSA ALMIRANTE ARY PARREIRAS;2;2;ambiguidade_por_contexto;1858,1932;Parque São Mateus;28073170,28073235;621
ANGRA DOS REIS;RUA ANGRA DOS REIS;2;2;ambiguidade_por_contexto;1860,2207;KILOMETRO 14,Parque Guarus;28073050,28145090;621,624
ANTONIO DA SILVA NETO;RUA ANTÔNIO DA SILVA NETO;2;2;ambiguidade_por_contexto;557,669;Goytacazes,Parque Imperial;28022260,28023806;608,609
ANTONIO MANOEL;RUA ANTÔNIO MANOEL - ATÉ 341 - LADO ÍMPAR | RUA ANTÔNIO MANOEL - ATÉ 348 - LADO PAR | RUA ANTÔNIO MANOEL - DE 367 AO FIM - LADO ÍMPAR | RUA ANTÔNIO MANOEL - DE 370 AO FIM - LADO PAR;4;4;ambiguidade_por_contexto;155,156,1060,1061;Parque João Maria,Parque Turf Club;28024101,28024102,28027321,28027322;603,613
AUGUSTO DOS ANJOS;RUA AUGUSTO DOS ANJOS;2;2;ambiguidade_por_contexto;526,1877;Jardins de Campos,Parque Novo Jockey;28020831,28085769;608,621
B;RUA B;4;4;ambiguidade_por_contexto;1631,1726,1728,1977;Codim,Parque Ceasa,Parque Céu Azul,Parque Prazeres;28083770,28085740,28090040,28090540;619,620,622
BARTOLOMEU LIZANDRO;RUA BARTOLOMEU LIZANDRO | TRAVESSA BARTOLOMEU LIZANDRO;2;2;ambiguidade_por_contexto;1538,1934;Parque São Mateus;28060216,28073165;618,621
