rua_id;nome;bairro;cep;distrito;hash_local;hash_producao;pontos_local;pontos_producao;linhas_local;linhas_producao;centro_local_lon;centro_local_lat;centro_producao_lon;centro_producao_lat;distancia_centroides_m;extensao_local_m;extensao_producao_m;bbox_local;bbox_producao;lote_osm_antigo;revisao_manual_95;indicacao
493;RUA CURIÓ;Goytacazes;28023760;607;4c491446270600a6;eb01ee1e6a2cd201;4;12;1;2;-41.25726077;-21.83388263;-41.4845608;-21.76422096;24712.6;563.2;731.8;-41.258194,-21.835759,-41.255922,-21.831154;-41.598706,-21.835759,-41.255922,-21.728813;sim;não;revisar visualmente antes de escolher uma base
2061;TRAVESSA NOSSA SENHORA DA PENHA;Parque Calabouço;28080783;622;3326c1c51cfdeecb;b7df5ff8ca4dda93;31;60;7;4;-41.28444838;-21.81268102;-41.30943543;-21.64033538;19337.0;476.6;1486.8;-41.285071,-21.814044,-41.283772,-21.810890;-41.347580,-21.895058,-41.286069,-21.375622;sim;não;revisar visualmente antes de escolher uma base
804;RUA NOSSA SENHORA DA PENHA;Parque Penha;28021220;611;758e06da172df33b;b7df5ff8ca4dda93;33;60;1;4;-41.28644835;-21.79962429;-41.30943543;-21.64033538;17870.6;783.8;1486.8;-41.286829,-21.801883,-41.286069,-21.795893;-41.347580,-21.895058,-41.286069,-21.375622;sim;não;revisar visualmente antes de escolher uma base
852;TRAVESSA NOSSA SENHORA DA PENHA;Parque Penha;28021470;611;8ee3767cd04bcfd3;b7df5ff8ca4dda93;2;60;1;4;-41.2874873;-21.79814245;-41.30943543;-21.64033538;17693.2;183.5;1486.8;-41.288363,-21.798283,-41.286612,-21.798002;-41.347580,-21.895058,-41.286069,-21.375622;sim;não;revisar visualmente antes de escolher uma base
1004;RUA ALECRIM;Parque Tarcisio Miranda;28022020;613;ae926afacc03c897;7da628e7de2c6ed5;6;19;1;3;-41.29846572;-21.79018912;-41.19083915;-21.90412286;16849.0;323.3;906.3;-41.299761,-21.790999,-41.297663,-21.788842;-41.299761,-22.037432,-41.051841,-21.788842;sim;não;revisar visualmente antes de escolher uma base
305;RUA ALECRIM;Goytacazes;28023588;605;168396dd64408fea;7da628e7de2c6ed5;5;19;1;3;-41.28180902;-21.82989034;-41.19083915;-21.90412286;12500.4;135.1;906.3;-41.282279,-21.830108,-41.281023,-21.829769;-41.299761,-22.037432,-41.051841,-21.788842;sim;não;revisar visualmente antes de escolher uma base
1803;RUA SANTO AMARO;Parque Visconde de Ururaí;28070326;620;0c55fa5ae4f2432c;dd8c6f8a292a9e10;10;85;1;15;-41.32669257;-21.72345908;-41.25725086;-21.77490049;9173.6;205.7;3562.4;-41.327245,-21.723600,-41.325348,-21.723088;-41.327245,-22.038013,-41.050506,-21.710237;sim;não;revisar visualmente antes de escolher uma base
1820;TRAVESSA SANTO AMARO;Vila Industrial;28090017;620;9c3e870dfebd60d4;dd8c6f8a292a9e10;11;85;1;15;-41.28962175;-21.71276563;-41.25725086;-21.77490049;7675.5;546.3;3562.4;-41.292437,-21.712959,-41.287215,-21.712459;-41.327245,-22.038013,-41.050506,-21.710237;sim;não;revisar visualmente antes de escolher uma base
279;RUA SANTO AMARO;Goytacazes;28023471;605;afe1966f85ec4d54;dd8c6f8a292a9e10;2;85;1;15;-41.2920099;-21.82569435;-41.25725086;-21.77490049;6691.7;263.6;3562.4;-41.292786,-21.826635,-41.291234,-21.824753;-41.327245,-22.038013,-41.050506,-21.710237;sim;não;revisar visualmente antes de escolher uma base
1537;RUA CALIFÓRNIA;Parque Santa Rosa;28085390;618;008c650cb5f2d1dd;e2b5a92539a5e2db;5;9;1;2;-41.29765364;-21.72466744;-41.30543578;-21.66942392;6195.2;293.7;620.8;-41.297663,-21.726143,-41.297637,-21.723501;-41.316681,-21.726143,-41.297637,-21.600183;sim;não;revisar visualmente antes de escolher uma base
