rua_id;nome_rua;nome_normalizado;nome_base_normalizado;bairro;cep;distrito;estado_geometria;hash_geometria;extensao_geometria_m;distancia_minima_outra_geometria_m;status_grupo;ids_do_grupo;quantidade_cadastros_base;quantidade_contextos_base;risco_casamento_osm;ids_chave_base
543;RUA A;A;A;Parque Novo Jockey;28020849;608;valida;c5e9aa39a658a5ef;74499.5;0.0;geometria_compartilhada_contextos_distintos;543,1621,1716,1725;4;4;ambiguidade_por_contexto;543,1621,1716,1725
1621;RUA A;A;A;Parque Prazeres;28085735;619;valida;c5e9aa39a658a5ef;74499.5;0.0;geometria_compartilhada_contextos_distintos;543,1621,1716,1725;4;4;ambiguidade_por_contexto;543,1621,1716,1725
1716;RUA A;A;A;Codim;28090530;620;valida;c5e9aa39a658a5ef;74499.5;0.0;geometria_compartilhada_contextos_distintos;543,1621,1716,1725;4;4;ambiguidade_por_contexto;543,1621,1716,1725
1725;RUA A;A;A;Parque Guarus;28070050;620;valida;c5e9aa39a658a5ef;74499.5;0.0;geometria_compartilhada_contextos_distintos;543,1621,1716,1725;4;4;ambiguidade_por_contexto;543,1621,1716,1725
1858;RUA ALMIRANTE ARY PARREIRAS;ALMIRANTE ARY PARREIRAS;ALMIRANTE ARY PARREIRAS;Parque São Mateus;28073170;621;valida;4e9e0ad9de3f4fbc;98.2;0.0;geometria_compartilhada_contextos_distintos;1858,1932;2;2;ambiguidade_por_contexto;1858,1932
1932;TRAVESSA ALMIRANTE ARY PARREIRAS;ALMIRANTE ARY PARREIRAS;ALMIRANTE ARY PARREIRAS;Parque São Mateus;28073235;621;valida;4e9e0ad9de3f4fbc;98.2;0.0;geometria_compartilhada_contextos_distintos;1858,1932;2;2;ambiguidade_por_contexto;1858,1932
1860;RUA ANGRA DOS REIS;ANGRA DOS REIS;ANGRA DOS REIS;Parque Guarus;28073050;621;valida;1f81f9a56cb303be;128.2;0.0;geometria_compartilhada_contextos_distintos;1860,2207;2;2;ambiguidade_por_contexto;1860,2207
2207;RUA ANGRA DOS REIS;ANGRA DOS REIS;ANGRA DOS REIS;KILOMETRO 14;28145090;624;valida;1f81f9a56cb303be;128.2;0.0;geometria_compartilhada_contextos_distintos;1860,2207;2;2;ambiguidade_por_contexto;1860,2207
557;RUA ANTÔNIO DA SILVA NETO;ANTONIO DA SILVA NETO;ANTONIO DA SILVA NETO;Parque Imperial;28022260;608;valida;7e27f7f1ea369bd1;532.6;0.0;geometria_compartilhada_contextos_distintos;557,669;2;2;ambiguidade_por_contexto;557,669
669;RUA ANTÔNIO DA SILVA NETO;ANTONIO DA SILVA NETO;ANTONIO DA SILVA NETO;Goytacazes;28023806;609;valida;7e27f7f1ea369bd1;532.6;0.0;geometria_compartilhada_contextos_distintos;557,669;2;2;ambiguidade_por_contexto;557,669
