nome_normalizado;nome_exemplo;quantidade_cadastros;quantidade_contextos;quantidade_geometrias_validas;quantidade_geometrias_unicas;quantidade_geometrias_compartilhadas;distancia_maxima_entre_centros_m;extensao_maxima_da_geometria_m;status;ids;bairros;ceps;distritos
UM;PRAÇA UM;3;3;3;2;2;3924.2;29306.7;geometria_compartilhada_contextos_distintos;1856,2044,2072;Parque Aeroporto,Parque Boa Vista,Parque Guarus;28070700,28073557,28093530;621,622,623
SANTO ANTONIO;TRAVESSA SANTO ANTÔNIO;3;3;3;2;2;3707.0;29091.3;geometria_compartilhada_contextos_distintos;1012,1459,1501;Parque Jóquei Club,Parque Santo Antônio;28022085,28080515,28080525;613,617
DOIS;PRAÇA DOIS;6;6;6;2;5;2011.7;34430.6;geometria_compartilhada_contextos_distintos;1854,1895,1949,1996,1998,2065;Jardim Lagoa das Pedras,Parque Aeroporto,Parque Barão do Rio Branco,Parque Boa Vista,Parque Guarus,Parque Presidente Vargas;28070040,28073580,28073700,28083331,28085510,28093130;621,622,623
PROJETADA A;RUA PROJETADA A;7;7;7;1;7;0.0;49310.1;geometria_compartilhada_contextos_distintos;50,530,1561,1592,1593,1810,2071;Custodópolis,Parque Aurora,Parque Calabouço,Parque Novo Jockey,Parque São Domingos,Parque Vera Cruz,Vila Industrial;28020835,28026550,28060395,28080760,28085270,28085655,28090015;601,608,618,620,623
CARLOS LACERDA ATE 137 LADO IMPAR;RUA CARLOS LACERDA - ATÉ 137 - LADO ÍMPAR;2;2;2;1;2;0.0;2320.9;geometria_compartilhada_contextos_distintos;60,110;Centro;28010241;602,603
CARLOS LACERDA ATE 146 LADO PAR;RUA CARLOS LACERDA - ATÉ 146 - LADO PAR;2;2;2;1;2;0.0;2320.9;geometria_compartilhada_contextos_distintos;61,111;Centro;28010242;602,603
PROJETADA C;RUA PROJETADA C;3;3;3;1;3;0.0;9329.9;geometria_compartilhada_contextos_distintos;100,528,1597;Custodópolis,Parque Aurora,Parque Novo Jockey;28020833,28026605,28085645;602,608,618
GILBERTO SIQUEIRA;RUA GILBERTO SIQUEIRA;2;2;2;1;2;0.0;4569.9;geometria_compartilhada_contextos_distintos;116,1707;Centro,Parque Fundão;28010400,28060377;603,619
DOS GOYTACAZES DE 564 A 976 LADO PAR;RUA DOS GOYTACAZES - DE 564 A 976 - LADO PAR;2;2;2;1;2;0.0;1662.2;geometria_compartilhada_contextos_distintos;123,1044;Parque Turf Club;28027231;603,613
DOS GOYTACAZES DE 609 A 1041 LADO IMPAR;RUA DOS GOYTACAZES - DE 609 A 1041 - LADO ÍMPAR;2;2;2;1;2;0.0;1662.2;geometria_compartilhada_contextos_distintos;124,1045;Parque Turf Club;28027232;603,613
DOMINGOS VIANA DE 312 AO 522;RUA DOMINGOS VIANA – DE 312 AO 522;2;2;2;1;2;0.0;2217.3;geometria_compartilhada_contextos_distintos;169,172;Parque Turf Club;28013085,28024140;604
DOMINGOS VIANA DE 387 AO 569;RUA DOMINGOS VIANA – DE 387 AO 569;2;2;2;1;2;0.0;2217.3;geometria_compartilhada_contextos_distintos;170,173;Parque Turf Club;28013085,28024140;604
SAO GONCALO;RUA SÃO GONÇALO;3;3;3;1;3;0.0;13885.5;geometria_compartilhada_contextos_distintos;197,1809,1924;Goytacazes,Parque Guarus,Parque São Mateus;28023592,28070216,28073225;604,620,621
CLERIO PINHEIRO;RUA CLÉRIO PINHEIRO;2;2;2;1;2;0.0;6913.0;geometria_compartilhada_contextos_distintos;262,264;Donana,Goytacazes;28023393,28023451;605
SANTO AMARO;RUA SANTO AMARO;3;3;3;1;3;0.0;46301.8;geometria_compartilhada_contextos_distintos;279,1803,1820;Goytacazes,Parque Visconde de Ururaí,Vila Industrial;28023471,28070326,28090017;605,620
VEREADOR AMARO SOARES;RUA VEREADOR AMARO SOARES;2;2;2;1;2;0.0;367.1;geometria_compartilhada_contextos_distintos;291,292;Goytacazes;28023568,28023569;605
OLIMPIO LINHARES;RUA OLÍMPIO LINHARES;2;2;2;1;2;0.0;1919.2;geometria_compartilhada_contextos_distintos;300,441;Goytacazes;28023582,28023730;605,607
ALECRIM;RUA ALECRIM;2;2;2;1;2;0.0;37658.9;geometria_compartilhada_contextos_distintos;305,1004;Goytacazes,Parque Tarcisio Miranda;28022020,28023588;605,613
SIQUEIRA E SILVA;RUA SIQUEIRA E SILVA;2;2;2;1;2;0.0;489.1;geometria_compartilhada_contextos_distintos;310,319;Centro;28013013,28013540;606
IDOLINO NUNES BRASILEIRO;RUA IDOLINO NUNES BRASILEIRO;2;2;2;1;2;0.0;848.1;geometria_compartilhada_contextos_distintos;326,332;Parque Califórnia,Parque Salo Brand;28015130,28015380;606
NOVA;RUA NOVA;2;2;2;1;2;0.0;30237.6;geometria_compartilhada_contextos_distintos;416,539;Goytacazes,Parque Novo Jockey;28020844,28023693;607,608
MARIA TAVARES DE ALVARENGA;TRAVESSA MARIA TAVARES DE ALVARENGA;2;2;2;1;2;0.0;189.5;geometria_compartilhada_contextos_distintos;424,425;Goytacazes;28023706,28023707;607
JOCA CASTRO;RUA JOCA CASTRO;2;2;2;1;2;0.0;4766.9;geometria_compartilhada_contextos_distintos;429,796;Goytacazes,Parque Penha;28021070,28023713;607,611
SAO CLEMENTE;RUA SÃO CLEMENTE;2;2;2;1;2;0.0;7836.3;geometria_compartilhada_contextos_distintos;444,950;Goytacazes,Parque Maciel;28023734,28025560;607,612
CURIO;RUA CURIÓ;2;2;2;1;2;0.0;37338.6;geometria_compartilhada_contextos_distintos;493,1300;Goytacazes,nan;28023760,28146067;607,616
AUGUSTO DOS ANJOS;RUA AUGUSTO DOS ANJOS;2;2;2;1;2;0.0;289.7;geometria_compartilhada_contextos_distintos;526,1877;Jardins de Campos,Parque Novo Jockey;28020831,28085769;608,621
MARANHAO;RUA MARANHÃO;2;2;2;1;2;0.0;140.2;geometria_compartilhada_contextos_distintos;532,533;Parque Novo Jockey;28020837,28020838;608
CAMBUCI;RUA CAMBUCI;2;2;2;1;2;0.0;8153.9;geometria_compartilhada_contextos_distintos;538,1866;Parque Guarus,Parque Novo Jockey;28020843,28073070;608,621
A;RUA A;4;4;4;1;4;0.0;74499.5;geometria_compartilhada_contextos_distintos;543,1621,1716,1725;Codim,Parque Guarus,Parque Novo Jockey,Parque Prazeres;28020849,28070050,28085735,28090530;608,619,620
CALIFORNIA;RUA CALIFÓRNIA;2;2;2;1;2;0.0;14143.6;geometria_compartilhada_contextos_distintos;544,1537;Parque Novo Jockey,Parque Santa Rosa;28020850,28085390;608,618
BEIRA VALAO;RUA BEIRA VALÃO;2;2;2;1;2;0.0;445.9;geometria_compartilhada_contextos_distintos;552,859;Parque Novo Jockey,Parque Penha;28020864,28022240;608,611
DAS ACACIAS;AVENIDA DAS ACÁCIAS;3;3;3;1;3;0.0;2900.9;geometria_compartilhada_contextos_distintos;554,568,1017;Fazenda Santo Antônio,Parque Penha,Parque Tarcisio Miranda;28020197,28022140,28023009;608,613
ANTONIO DA SILVA NETO;RUA ANTÔNIO DA SILVA NETO;2;2;2;1;2;0.0;532.6;geometria_compartilhada_contextos_distintos;557,669;Goytacazes,Parque Imperial;28022260,28023806;608,609
TREZE;RUA TREZE;3;3;3;1;3;0.0;33037.7;geometria_compartilhada_contextos_distintos;607,731,2057;Parque Alvorada,Parque Penha,Parque Tropical;28021680,28022830,28083155;609,610,622
