rua_id;nome_rua;distrito
1440;ARTHUR FRANCISCO EUGÊNIO ( PQ RES PRIMAVERA);616
30;AVENIDA QUINZE DE NOVEMBRO - ATÉ 64/65;601
1441;BETRALDO MANHÃES  ( PQ RES PRIMAVERA);616
1420;CANAVIEIRAS, RUA;616
1442;CLÓVIS FRANCISCO DA SILVA  ( PQ RES PRIMAVERA);616
1165;CONSTÂNCIA, RUA DONA;615
1443;ESCRIVÃ MARIA DE JESUS PEREIRA ( PQ RES PRIMAVERA);616
1444;ESCRIVÃ MARIA JOSÉ NEVES  ( PQ RES PRIMAVERA);616
1154;GRAÇAS, RUA NOSSA SRA DAS;615
1445;JANETE CRUZ SIQUEIRA ( PQ RES PRIMAVERA);616
1446;JOELSON GOMES GUIMARÃES ( PQ RES PRIMAVERA);616
1128;LOURDES, RUA NOSSA SRA DE;614
1447;MARCOS ANTÔNIO RIBEIRO DIAS ( PQ RES PRIMAVERA);616
1448;MARIA DA PENHA BATISTA ( PQ RES PRIMAVERA);616
1449;PAULO NOGUEIRA PAMPLONA  ( PQ RES PRIMAVERA);616
2064;PRAÇA DURVAL LIMA;623
1376;PRAÇA PAPA JOÃO XXIII;616
2085;PRAÇA ROCKEFELLER FELISBERTO DE LIMA -  TRAVESSÃO;623
2086;PRAÇA SILÊNIO CÉSAR TERRA - TRAVESSÃO;623
1450;ROGÉRIA DE MIRANDA DA SILVA  ( PQ RES PRIMAVERA);616
1451;ROSA MARIA SIQUEIRA PAMPLONA  ( PQ RES PRIMAVERA);616
1837;RUA AB-1;621
1839;RUA AB-10;621
1841;RUA AB-11;621
1843;RUA AB-12;621
1845;RUA AB-13;621
1847;RUA AB-14;621
1849;RUA AB-2;621
1851;RUA AB-3;621
1853;RUA AB-4;621
1859;RUA AB-7;621
1861;RUA AB-8;621
1863;RUA AB-9;621
2204;RUA AMAPÁ -  KM 14;624
2206;RUA AMARO SALES PINTO - TRAVESSÃO;624
550;RUA AYRTON SENNA;608
2173;RUA B (FAROFA);624
1879;RUA B (RES LAPA I);621
1630;RUA C (FAZ ALDEIA);619
2101;RUA CARLOS DE JESUS - TRAVESSÃO;623
2212;RUA CINCO ( KM 15 ) TRAVESSÃO;624
2213;RUA CINCO - NOVA CANAÃ;624
2102;RUA CONSTANTINO BRAGANÇA - TRAVESSÃO;623
2103;RUA CÂNDIDO DUTRA -  TRAVESSÃO;623
347;RUA DARIO MANINHO / COND 130;606
2214;RUA DEZ - NOVA CANAÃ;624
