rua_id;nome_rua;distrito
2206;RUA AMARO SALES PINTO - TRAVESSÃO;624
2173;RUA B (FAROFA);624
2103;RUA CÂNDIDO DUTRA -  TRAVESSÃO;623
2101;RUA CARLOS DE JESUS - TRAVESSÃO;623
2110;RUA EDMUNDO LINS - TRAVESSÃO;623
2098;RUA ETELVINO NOGUEIRA - TRAVESSÃO;623
1654;RUA H (FAZ ALDEIA);619
1549;RUA H (PRQ PLANÍCIE);618
1670;RUA L (FAZ ALDEIA);619
687;RUA LÚCIO LOPES (ESTÂNCIA DA PENHA);610
2125;RUA MONTE SIÃO - TRAVESSÃO;623
2236;RUA QUINZE - NOVA CANAÃ;624
688;RUA ROSANA MARCONDE (ESTÂNCIA DA PENHA);610
2250;RUA TRINTA E NOVE - NOVA CANAÃ;624
704;RUA VALMOR BARBOSA (VILA MENEZES);610
694;TRAVESSA EDITE DE SOUZA LICASALIO (VILA MANHÃES);610
1613;VILA CUSTÓDIO;618
